route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,id
12014-20170724124507_v56.18,120,Akoranga to Henderson,3,RTH,,,,,1
87501-20170807091914_v56.25,875,Browns Bay To Mayoral Dr,3,NZBNS,,,,,2
19507-20170724124507_v56.18,195,New Lynn to City Centre via Green Bay and Blockhouse Bay Rd,3,RTH,,,,,3
39002-20170724124507_v56.18,390,City Centre To Te Papapa,3,NZBML,,,,,4
37702-20170724124507_v56.18,377,Papakura Interchange To Pahurehure,3,RTH,,,,,5
02352-20170724124507_v56.18,023,Epsom Girls Grammar To Herne Bay,3,NZBML,,,,,6
31752-20170807091914_v56.25,317,Somerville Intermediate To Redcastle Dr,3,HE,,,,,7
05660-20170807091914_v56.25,056,Avondale College to Forest Hill,3,PC,,,,,8
73110-20170724124507_v56.18,OUT,Outer Link Newmarket To CBD Clockwise,3,NZBML,,,,,9
04551-20170807091914_v56.25,045,Orewa To Westlake Schools,3,NZBNS,,,,,10
29902-20170807091914_v56.25,299,City Centre To Lynfield Via Waikowhai,3,NZBML,,,,,11
01951-20170724124507_v56.18,019,Army Bay To Whangaparaoa College,3,BAYES,,,,,12
02351-20170807091914_v56.25,023,Herne Bay To Epsom Girls Grammar,3,NZBML,,,,,13
01557-20170724124507_v56.18,015,Bayview To Westlake Girls,3,BTL,,,,,14
31551-20170724124507_v56.18,315,Smales Rd To Somerville Intermediate And Howick College,3,HE,,,,,15
06058-20170724124507_v56.18,060,Albany Schools to Meadowood,3,RTH,,,,,16
40056-20170807091914_v56.25,ONE,Britomart Train Station to Onehunga Train Station,2,AM,,,,,17
01954-20170724124507_v56.18,019,Remuera Primary To Ellerslie,3,NZBML,,,,,18
96201-20170724124507_v56.18,962,Albany Station To Newmarket Via Ponsonby,3,NZBNS,,,,,19
01756-20170724124507_v56.18,017,Sacred Heart College To Parnell,3,HE,,,,,20
22056-20170807091914_v56.25,220,Waiheke High School to Oneroa,3,WBC,,,,,21
94502-20170724124507_v56.18,945,Glenfield To Takapuna Via Marlborough,3,RTH,,,,,22
07051-20170724124507_v56.18,070,Oakway Dr To Upper Harbour Primary,3,RTH,,,,,23
03252-20170724124507_v56.18,032,Epsom Girls Grammar to Waikowhai,3,NZBML,,,,,24
30452-20170807091914_v56.25,304,Sommerville Intermediate To Highland Park,3,HE,,,,,25
32601-20170724124507_v56.18,326,Mangere Town Centre To Otahuhu Station Via Tidal Road,3,GBT,,,,,26
08454-20170724124507_v56.18,084,St Josephs School (Onehunga) To Mangere Town Centre,3,GBT,,,,,27
07758-20170724124507_v56.18,077,Glenfield Intermediate To Beach Haven,3,BTL,,,,,28
19515-20170724124507_v56.18,195,Blckhouse Bay to City Centre,3,RTH,,,,,29
17107-20170724124507_v56.18,171X,Laingholm to City Centre Express,3,RTH,,,,,30
06253-20170724124507_v56.18,062,Mt Wellington To Ellerslie Penrose Schools,3,NZBML,,,,,31
08752-20170724124507_v56.18,087,Westlake Schools To Stanley Bay,3,RTH,,,,,32
15406-20170807091914_v56.25,154,New Lynn to Henderson via Glen Eden,3,PC,,,,,33
60503-20170724124507_v56.18,605,Victoria Ave To City Centre,3,NZBML,,,,,34
02851-20170807091914_v56.25,028,Remuera To Epsom Schools,3,NZBML,,,,,35
24808-20170807091914_v56.25,248X,City Centre to Blockhouse Bay via Sandringham Rd Express,3,NZBML,,,,,36
04752-20170724124507_v56.18,047,Carmel College And Westlake Girls To Gulf Harbour,3,NZBNS,,,,,37
77902-20170724124507_v56.18,779,Devonport Wharf To Stanley Bay And Return,3,RTH,,,,,38
00253-20170807091914_v56.25,002,Mangere Bridge Shops To Seventh Day Adventist Primary,3,GBT,,,,,39
01959-20170724124507_v56.18,019,Whangaparaoa College To Gulf Harbour School,3,BAYES,,,,,40
71505-20170807091914_v56.25,715,Eastridge to Britomart,3,NZBML,,,,,41
07355-20170724124507_v56.18,073,Birkdale To Wairau Intermediate,3,BTL,,,,,42
24308-20170724124507_v56.18,243,City Centre to New Lynn via Sandringham Rd,3,NZBML,,,,,43
39602-20170724124507_v56.18,396,Pukekohe Interchange To Waiuku Via Patumahoe,3,RTH,,,,,44
35201-20170807091914_v56.25,352,Manukau Station To Panmure Via East Tamaki,3,HE,,,,,45
50003-20170724124507_v56.18,500,Kilkenny Dr To Britomart Via Botany Town Centre,3,HE,,,,,46
85003-20170724124507_v56.18,85X,Torbay To Mayoral Dr Express,3,NZBNS,,,,,47
55215-20170724124507_v56.18,552,Bucklands Beach To Panmure Via Vivian Wilson Dr,3,HE,,,,,48
76901-20170724124507_v56.18,769,Glendowie North To Britomart Via Tamaki Dr,3,NZBML,,,,,49
97602-20170724124507_v56.18,976,Takapuna To Verrans Corner Via Highbury Shops,3,BTL,,,,,50
05952-20170807091914_v56.25,059,De La Salle College To Papakura,3,RTH,,,,,51
10018-20170807091914_v56.25,N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",3,GBT,,,,,52
57505-20170724124507_v56.18,575,Half Moon Bay To Botany Town Centre,3,HE,,,,,53
