stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,stop_street,stop_city,stop_region,stop_postcode,stop_country,location_type,parent_station,stop_timezone,wheelchair_boarding,direction,position,the_geom
3382,9 Nile Rd,,-36.77869,174.75143,,,3382,,,,,,0,41344,,,,,0101000020E61000007767EDB60BD8654072DC291DAC6342C0
3480,40 Vauxhall Rd,,-36.82308,174.80429,,,3480,,,,,,0,41023,,,,,0101000020E6100000FFCF61BEBCD96540EFFE78AF5A6942C0
21094,Metcalfe Rd/Babich Rd North,,-36.87176,174.60227,,,21094,,,,,,1,,,,,,0101000020E6100000952BBCCB45D3654001FBE8D4956F42C0
11542,Manukau Rd and King George,,-36.89001,174.77511,,,11542,,,,,,1,,,,,,0101000020E6100000AF997CB3CDD86540758E01D9EB7142C0
11543,Manukau Rd and Queen Mary,,-36.89261,174.77465,,,11543,,,,,,1,,,,,,0101000020E610000016FBCBEEC9D86540910A630B417242C0
11540,Manukau Rd and Ranfurly,,-36.88468,174.77558,,,11540,,,,,,1,,,,,,0101000020E6100000D0ED258DD1D8654070B6B9313D7142C0
11541,Manukau Rd and Kimberley,,-36.88789,174.77531,,,11541,,,,,,1,,,,,,0101000020E610000060C8EA56CFD8654004392861A67142C0
11547,Greenwoods Corner,,-36.90056,174.77332,,,11547,,,,,,1,,,,,,0101000020E6100000F8AA9509BFD86540FA0AD28C457342C0
11544,Manukau Rd and Claude,,-36.89469,174.77419,,,11544,,,,,,1,,,,,,0101000020E61000007D5C1B2AC6D865407407B133857242C0
11545,Manukau Rd and Gardner,,-36.89571,174.77381,,,11545,,,,,,1,,,,,,0101000020E61000002B6A300DC3D865409F5912A0A67242C0
11548,Manukau Rd and Gladwin,,-36.903,174.77391,,,11548,,,,,,1,,,,,,0101000020E61000008481E7DEC3D86540DD240681957342C0
5988,Avondale College Bus Bay,,-36.89059,174.68907,,,5988,,,,,,0,11152,,,,,0101000020E6100000F35487DC0CD66540841266DAFE7142C0
5989,Opp 676 West Coast Rd,,-36.92069,174.6046,,,5989,,,,,,0,21255,,,,,0101000020E61000002C6519E258D365408BE07F2BD97542C0
51269,Wallace Rd/Fairview Rd,,-36.98252,174.85524,,,51269,,,,,,1,,,,,,0101000020E610000065C746205EDB65403DD52137C37D42C0
51268,Wallace Rd/Grande Vue Rd,,-36.98477,174.85644,,,51268,,,,,,1,,,,,,0101000020E61000008FDFDBF467DB65407C0A80F10C7E42C0
51267,Wallace Rd/Puhinui Rd,,-36.98773,174.85803,,,51267,,,,,,1,,,,,,0101000020E6100000959F54FB74DB654098A3C7EF6D7E42C0
51266,Puhinui Rd/Ranfurly Rd,,-36.98759,174.85997,,,51266,,,,,,1,,,,,,0101000020E61000005131CEDF84DB6540A6ED5F59697E42C0
51265,Plunket Ave/Brett Ave,,-36.98917,174.86243,,,51265,,,,,,1,,,,,,0101000020E6100000DBA2CC0699DB65409817601F9D7E42C0
51264,Plunket Ave/Cavendish Dr,,-36.99126,174.86365,,,51264,,,,,,1,,,,,,0101000020E610000018265305A3DB65409EEA909BE17E42C0
51263,Plunket Ave/Narek Pl,,-36.99431,174.8656,,,51263,,,,,,1,,,,,,0101000020E61000005D6DC5FEB2DB6540FA0AD28C457F42C0
5987,105 Bolton St,,-36.9191,174.69363,,,5987,,,,,,0,11727,,,,,0101000020E6100000C9B08A3732D6654076E09C11A57542C0
51261,Puhinui Rd/Puhinui School,,-36.98528,174.86672,,,51261,,,,,,1,,,,,,0101000020E610000040D9942BBCDB654092B3B0A71D7E42C0
5985,Opp 120 Hobsonville Rd,,-36.7992,174.6458,,,5985,,,,,,0,21508,,,,,0101000020E610000038F8C264AAD465404A7B832F4C6642C0
61170,Rathgar Rd/Ti Nana Crescent,,-36.87029,174.62059,,,61170,,,,,,1,,,,,,0101000020E610000030478FDFDBD365409604A8A9656F42C0
61171,Royal View Rd/Vera Rd,,-36.85901,174.65066,,,61171,,,,,,1,,,,,,0101000020E6100000179AEB34D2D46540EE77280AF46D42C0
61172,Seymour Rd/Wattle Rd,,-36.90367,174.62813,,,61172,,,,,,1,,,,,,0101000020E61000005EF415A419D465402B306475AB7342C0
61173,Seymour Rd/Sunnyvale Rd corner,,-36.89642,174.63504,,,61173,,,,,,1,,,,,,0101000020E6100000DCF4673F52D465407BBDFBE3BD7242C0
61174,Sturges Rd/Fitzwater Place,,-36.87834,174.61784,,,61174,,,,,,1,,,,,,0101000020E610000024456458C5D365406362F3716D7042C0
61175,Sunvue Rd/Sunvue Park,,-36.91455,174.63264,,,61175,,,,,,1,,,,,,0101000020E610000087C43D963ED46540454772F90F7542C0
61176,Swanson Rd/Swanson Village,,-36.86562,174.58203,,,61176,,,,,,1,,,,,,0101000020E61000004FE960FD9FD26540BB61DBA2CC6E42C0
6487,83 Kolmar Rd,,-36.97392,174.85661,,,6487,,,,,,0,51315,,,,,0101000020E6100000A6ED5F5969DB6540CD751A69A97C42C0
7624,Great South Rd Opp Penrose Station,,-36.90976,174.81618,,,7624,,,,,,0,31864,,,,,0101000020E6100000C7F484251EDA6540BF9A0304737442C0
